editTopo.py edits file version 1
#edits to restore Marginal seas: Med sea, Red Sea, Persian Gulf
#   i    j  old                new
   41  164    0.000000000000000     1700.0
   42  164 1267.289672851562500     1995.9
   43  164 1564.906372070312500     1948.4
   50  156   51.989349365234375      700.0
   50  155   33.123813629150391      700.0
   50  154   96.783905029296875      700.0
   51  155   22.384363174438477      700.0
   51  154   48.336513519287109      700.0
   51  153  100.323249816894531      700.0
   51  152  709.444763183593750      700.0
   52  154    0.000000000000000      700.0
   52  153   35.177688598632812      700.0
   52  152    0.000000000000000      700.0
   50  153 1052.025634765625000      700.0
   50  152  835.064208984375000      700.0
   49  157  431.209655761718750      700.0
   49  156  783.029907226562500      700.0
   49  155  358.770874023437500      700.0
   49  154  573.377319335937500      700.0
   49  153 1646.091674804687500      700.0
   49  152  450.843658447265625      700.0
   50  157  407.603149414062500      700.0
   50  158  256.559906005859375      700.0
   50  159  199.251907348632812      650.0
   50  160    0.000000000000000      650.0
   51  159 1554.541503906250000     1870.0
   52  159    0.000000000000000     1870.0
   53  140  179.328430175781250      800.0
   53  139   64.642761230468750      800.0
   53  138   73.091560363769531      800.0
   53  137  103.649002075195312      800.0
   53  136  150.590469360351562      800.0
   53  135  179.533477783203125      800.0
   52  138  732.116882324218750      800.0
   52  137  547.636352539062500      800.0
   52  136  425.363220214843750      800.0
   52  135  318.959472656250000      800.0
   51  136  862.229064941406250      800.0
   51  135  881.334350585937500      800.0
   50  138 1276.559448242187500     2124.2
   50  137  764.047119140625000     1247.3
   50  136  374.032592773437500     1247.3
   50  135  798.064025878906250     1247.3
   50  134 1170.041259765625000     1247.3
   35  137 1198.829345703125000      700.0
   35  136 1098.914672851562500      700.0
   35  135    0.000000000000000      300.0
   35  134  371.119232177734375      300.0
   36  134    0.000000000000000      300.0
   36  135    0.000000000000000      300.0
   36  136 1038.443359375000000      700.0
   36  137 1314.691162109375000      700.0
   36  133 1799.182861328125000     1931.3
   38  132 1584.080322265625000     1748.4
   39  132    0.000000000000000      922.7
